Reference,Chromosom,Length,
sample_1,contig_1,4756536,
sample_1,contig_2,128830,
sample_1,contig_3,121689,
sample_2,contig_1,4757313,
sample_2,contig_2,128830,
sample_2,contig_3,121666,
sample_3,contig_1,4842616,
sample_3,contig_2,128863,
sample_3,contig_3,38051,
